Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"United States","America","USA","National","USAt","Total",0.872,0.873,0.877,0.880,0.884,0.885,0.887,0.889,0.893,0.889,0.891,0.892,0.893,0.895,0.898,0.900,0.904,0.906,0.906,0.908,0.911,0.913,0.916,0.917,0.919,0.920,0.922,0.924,0.927,0.930,0.920,0.921
"United States","America","USA","Subnat","USAr101","Alabama",0.834,0.835,0.839,0.843,0.846,0.847,0.850,0.852,0.855,0.851,0.853,0.854,0.855,0.857,0.861,0.863,0.866,0.867,0.867,0.868,0.871,0.873,0.876,0.878,0.879,0.880,0.882,0.884,0.886,0.889,0.879,0.881
"United States","America","USA","Subnat","USAr102","Alaska",0.912,0.912,0.915,0.917,0.920,0.920,0.921,0.922,0.921,0.914,0.913,0.915,0.916,0.916,0.919,0.921,0.926,0.929,0.930,0.932,0.933,0.933,0.934,0.934,0.934,0.933,0.935,0.936,0.938,0.939,0.931,0.930
"United States","America","USA","Subnat","USAr103","Arizona",0.873,0.873,0.876,0.879,0.882,0.882,0.884,0.885,0.890,0.886,0.888,0.888,0.888,0.890,0.893,0.895,0.900,0.902,0.901,0.900,0.903,0.904,0.906,0.907,0.907,0.907,0.909,0.911,0.914,0.916,0.907,0.908
"United States","America","USA","Subnat","USAr104","Arkansas",0.833,0.835,0.839,0.842,0.846,0.847,0.850,0.851,0.854,0.851,0.853,0.853,0.855,0.857,0.861,0.862,0.865,0.866,0.867,0.868,0.872,0.874,0.876,0.878,0.880,0.880,0.882,0.884,0.886,0.889,0.879,0.881
"United States","America","USA","Subnat","USAr105","California",0.879,0.879,0.883,0.886,0.889,0.889,0.891,0.893,0.897,0.893,0.897,0.897,0.898,0.900,0.905,0.907,0.912,0.914,0.915,0.915,0.918,0.920,0.923,0.925,0.927,0.929,0.932,0.934,0.937,0.939,0.929,0.931
"United States","America","USA","Subnat","USAr106","Colorado",0.903,0.903,0.907,0.910,0.912,0.913,0.915,0.916,0.922,0.918,0.921,0.921,0.920,0.920,0.922,0.923,0.926,0.929,0.929,0.930,0.933,0.934,0.937,0.939,0.941,0.942,0.943,0.946,0.948,0.951,0.941,0.942
"United States","America","USA","Subnat","USAr107","Connecticut",0.906,0.907,0.911,0.914,0.917,0.918,0.920,0.922,0.926,0.921,0.925,0.927,0.927,0.928,0.934,0.936,0.939,0.941,0.943,0.945,0.947,0.948,0.950,0.950,0.951,0.951,0.953,0.954,0.956,0.958,0.950,0.948
"United States","America","USA","Subnat","USAr108","Delaware",0.890,0.892,0.896,0.900,0.903,0.905,0.907,0.909,0.915,0.912,0.913,0.913,0.913,0.914,0.915,0.915,0.918,0.920,0.919,0.923,0.925,0.927,0.929,0.929,0.932,0.933,0.934,0.935,0.937,0.939,0.931,0.929
"United States","America","USA","Subnat","USAr109","District of Columbia",0.867,0.870,0.874,0.877,0.880,0.880,0.885,0.888,0.894,0.891,0.896,0.897,0.899,0.901,0.905,0.906,0.913,0.918,0.923,0.929,0.935,0.936,0.939,0.941,0.942,0.943,0.945,0.946,0.947,0.949,0.941,0.940
"United States","America","USA","Subnat","USAr110","Florida",0.867,0.868,0.872,0.875,0.879,0.880,0.882,0.884,0.889,0.884,0.887,0.889,0.890,0.892,0.895,0.897,0.901,0.902,0.900,0.900,0.902,0.903,0.905,0.907,0.909,0.910,0.912,0.914,0.917,0.919,0.909,0.911
"United States","America","USA","Subnat","USAr111","Georgia",0.854,0.856,0.860,0.865,0.868,0.870,0.873,0.875,0.880,0.877,0.880,0.881,0.881,0.882,0.886,0.888,0.890,0.892,0.890,0.891,0.894,0.896,0.898,0.900,0.902,0.903,0.905,0.908,0.910,0.913,0.903,0.904
"United States","America","USA","Subnat","USAr112","Hawaii",0.899,0.900,0.903,0.906,0.909,0.910,0.912,0.913,0.914,0.909,0.911,0.911,0.912,0.915,0.919,0.921,0.925,0.927,0.928,0.928,0.932,0.933,0.936,0.937,0.938,0.939,0.941,0.943,0.946,0.949,0.939,0.940
"United States","America","USA","Subnat","USAr113","Idaho",0.868,0.869,0.872,0.876,0.878,0.879,0.881,0.882,0.886,0.883,0.888,0.886,0.886,0.886,0.889,0.890,0.895,0.897,0.897,0.897,0.900,0.901,0.902,0.904,0.906,0.906,0.908,0.910,0.912,0.915,0.905,0.907
"United States","America","USA","Subnat","USAr114","Illinois",0.877,0.879,0.882,0.886,0.889,0.890,0.893,0.895,0.899,0.894,0.897,0.898,0.899,0.901,0.905,0.907,0.912,0.915,0.914,0.916,0.920,0.922,0.925,0.926,0.927,0.928,0.930,0.932,0.935,0.937,0.928,0.929
"United States","America","USA","Subnat","USAr115","Indiana",0.865,0.866,0.869,0.873,0.875,0.876,0.878,0.880,0.885,0.880,0.882,0.881,0.882,0.884,0.887,0.887,0.890,0.893,0.893,0.893,0.898,0.900,0.902,0.904,0.906,0.906,0.908,0.910,0.913,0.916,0.906,0.907
"United States","America","USA","Subnat","USAr116","Iowa",0.880,0.881,0.885,0.888,0.892,0.893,0.895,0.896,0.899,0.893,0.897,0.896,0.898,0.900,0.906,0.907,0.910,0.913,0.913,0.914,0.917,0.920,0.924,0.925,0.928,0.929,0.931,0.933,0.936,0.938,0.928,0.930
"United States","America","USA","Subnat","USAr117","Kansas",0.884,0.885,0.888,0.892,0.894,0.895,0.897,0.898,0.901,0.895,0.897,0.897,0.897,0.898,0.899,0.900,0.905,0.909,0.910,0.910,0.913,0.916,0.918,0.919,0.921,0.921,0.923,0.925,0.928,0.930,0.921,0.922
"United States","America","USA","Subnat","USAr118","Kentucky",0.836,0.838,0.842,0.846,0.849,0.851,0.854,0.856,0.860,0.856,0.855,0.856,0.858,0.859,0.862,0.864,0.868,0.869,0.870,0.871,0.875,0.877,0.880,0.881,0.883,0.884,0.886,0.888,0.890,0.893,0.883,0.884
"United States","America","USA","Subnat","USAr119","Louisiana",0.844,0.846,0.849,0.853,0.856,0.857,0.860,0.861,0.865,0.860,0.860,0.861,0.862,0.864,0.868,0.870,0.876,0.876,0.877,0.881,0.886,0.885,0.887,0.886,0.888,0.888,0.889,0.891,0.894,0.896,0.887,0.888
"United States","America","USA","Subnat","USAr120","Maine",0.870,0.871,0.875,0.879,0.882,0.884,0.886,0.888,0.891,0.887,0.890,0.892,0.892,0.894,0.897,0.897,0.901,0.902,0.903,0.905,0.908,0.909,0.912,0.913,0.915,0.916,0.918,0.920,0.923,0.925,0.916,0.917
"United States","America","USA","Subnat","USAr121","Maryland",0.881,0.882,0.886,0.889,0.892,0.893,0.895,0.897,0.902,0.897,0.900,0.902,0.904,0.905,0.910,0.912,0.916,0.919,0.920,0.923,0.927,0.929,0.931,0.933,0.934,0.935,0.937,0.939,0.942,0.944,0.935,0.936
"United States","America","USA","Subnat","USAr122","Massachusetts",0.898,0.899,0.903,0.907,0.910,0.912,0.914,0.916,0.920,0.916,0.921,0.923,0.923,0.925,0.929,0.930,0.935,0.938,0.939,0.941,0.945,0.948,0.950,0.951,0.952,0.953,0.954,0.955,0.957,0.959,0.951,0.949
"United States","America","USA","Subnat","USAr123","Michigan",0.870,0.871,0.875,0.879,0.883,0.884,0.886,0.888,0.891,0.887,0.889,0.889,0.890,0.892,0.894,0.895,0.898,0.899,0.897,0.896,0.902,0.904,0.907,0.909,0.910,0.912,0.914,0.916,0.919,0.921,0.912,0.913
"United States","America","USA","Subnat","USAr124","Minnesota",0.897,0.898,0.902,0.905,0.908,0.909,0.912,0.913,0.918,0.913,0.916,0.917,0.919,0.921,0.925,0.927,0.929,0.931,0.932,0.932,0.936,0.939,0.942,0.944,0.946,0.947,0.948,0.951,0.953,0.956,0.946,0.947
"United States","America","USA","Subnat","USAr125","Mississippi",0.820,0.821,0.825,0.828,0.831,0.832,0.835,0.837,0.840,0.836,0.837,0.838,0.838,0.841,0.844,0.845,0.849,0.852,0.854,0.855,0.858,0.859,0.862,0.864,0.865,0.865,0.867,0.869,0.872,0.874,0.865,0.866
"United States","America","USA","Subnat","USAr126","Missouri",0.866,0.867,0.871,0.875,0.878,0.879,0.881,0.883,0.886,0.882,0.884,0.884,0.884,0.885,0.888,0.889,0.892,0.893,0.895,0.896,0.899,0.900,0.903,0.905,0.906,0.907,0.909,0.911,0.913,0.916,0.906,0.907
"United States","America","USA","Subnat","USAr127","Montana",0.872,0.873,0.877,0.880,0.883,0.884,0.886,0.887,0.891,0.885,0.887,0.888,0.889,0.891,0.894,0.896,0.900,0.904,0.905,0.907,0.911,0.913,0.914,0.914,0.915,0.916,0.917,0.919,0.921,0.924,0.914,0.916
"United States","America","USA","Subnat","USAr128","Nebraska",0.886,0.887,0.891,0.894,0.897,0.898,0.900,0.901,0.904,0.898,0.901,0.902,0.903,0.905,0.908,0.909,0.913,0.916,0.917,0.920,0.925,0.928,0.929,0.931,0.933,0.933,0.934,0.937,0.939,0.942,0.932,0.933
"United States","America","USA","Subnat","USAr129","Nevada",0.880,0.880,0.883,0.886,0.889,0.889,0.891,0.892,0.894,0.889,0.889,0.888,0.888,0.888,0.892,0.894,0.898,0.899,0.897,0.896,0.900,0.901,0.901,0.902,0.902,0.903,0.905,0.907,0.909,0.912,0.902,0.904
"United States","America","USA","Subnat","USAr130","New Hampshire",0.891,0.893,0.897,0.901,0.904,0.905,0.908,0.909,0.914,0.908,0.912,0.913,0.913,0.915,0.918,0.919,0.923,0.925,0.926,0.929,0.933,0.935,0.937,0.939,0.940,0.941,0.944,0.946,0.949,0.952,0.942,0.943
"United States","America","USA","Subnat","USAr131","New Jersey",0.888,0.890,0.894,0.898,0.901,0.903,0.906,0.908,0.912,0.907,0.911,0.913,0.915,0.917,0.921,0.923,0.927,0.929,0.930,0.932,0.935,0.935,0.938,0.940,0.941,0.942,0.944,0.946,0.949,0.951,0.941,0.943
"United States","America","USA","Subnat","USAr132","New Mexico",0.868,0.868,0.872,0.875,0.877,0.878,0.880,0.881,0.883,0.879,0.880,0.881,0.881,0.883,0.887,0.886,0.889,0.890,0.890,0.892,0.893,0.895,0.897,0.897,0.900,0.901,0.902,0.904,0.907,0.909,0.900,0.901
"United States","America","USA","Subnat","USAr133","New York",0.880,0.882,0.886,0.890,0.894,0.895,0.898,0.901,0.906,0.903,0.906,0.909,0.910,0.912,0.917,0.920,0.924,0.926,0.925,0.929,0.933,0.935,0.938,0.939,0.941,0.941,0.943,0.944,0.946,0.947,0.939,0.938
"United States","America","USA","Subnat","USAr134","North Carolina",0.854,0.856,0.860,0.864,0.867,0.869,0.872,0.874,0.878,0.875,0.877,0.878,0.879,0.880,0.884,0.886,0.891,0.893,0.894,0.895,0.898,0.900,0.902,0.903,0.905,0.906,0.908,0.910,0.913,0.915,0.906,0.907
"United States","America","USA","Subnat","USAr135","North Dakota",0.870,0.871,0.875,0.879,0.882,0.883,0.885,0.887,0.892,0.886,0.889,0.892,0.895,0.899,0.902,0.904,0.909,0.913,0.919,0.923,0.929,0.934,0.942,0.943,0.943,0.943,0.945,0.946,0.948,0.949,0.941,0.940
"United States","America","USA","Subnat","USAr136","Ohio",0.869,0.871,0.874,0.878,0.881,0.882,0.885,0.886,0.891,0.886,0.888,0.888,0.889,0.890,0.893,0.893,0.896,0.898,0.898,0.898,0.902,0.906,0.908,0.910,0.912,0.913,0.915,0.917,0.920,0.922,0.913,0.914
"United States","America","USA","Subnat","USAr137","Oklahoma",0.857,0.858,0.861,0.864,0.866,0.866,0.868,0.869,0.871,0.865,0.867,0.869,0.869,0.870,0.873,0.874,0.879,0.880,0.881,0.881,0.883,0.886,0.890,0.893,0.896,0.897,0.897,0.899,0.901,0.904,0.894,0.896
"United States","America","USA","Subnat","USAr138","Oregon",0.879,0.880,0.883,0.886,0.889,0.889,0.891,0.892,0.896,0.890,0.895,0.894,0.895,0.896,0.902,0.903,0.910,0.913,0.916,0.918,0.923,0.926,0.926,0.926,0.928,0.929,0.932,0.934,0.936,0.939,0.929,0.930
"United States","America","USA","Subnat","USAr139","Pennsylvania",0.868,0.869,0.873,0.877,0.880,0.882,0.884,0.886,0.891,0.886,0.889,0.891,0.891,0.893,0.897,0.898,0.902,0.905,0.907,0.909,0.913,0.914,0.917,0.919,0.920,0.922,0.924,0.926,0.929,0.931,0.921,0.923
